,points
"JEWISH COMMITTEE, AMERICAN",1024
DUPONT GLORE FORGAN INC.,1024
"SCIENCES, SOVIET ACADEMY OF",1024
NEWSPAPER TRADES COUNCIL,1024
RC CH,1024
WORLD HOCKEY ASSN.,1024
CINEMA CENTER,1024
NMU,1024
NYS THEATER,1024
BERGDORF GOODMAN CO.,1024
Queensborough Community College,1024
AEROFLOT,1024
"DENTAL AND ORAL SURGERY, SCHOOL OF",1024
TRUSTEESHIP COUNCIL,1024
REPUB PARTY - NH PRIMARY CAMPAIGN,1024
MCDONNELL DOUGLAS CORP.,1024
HUDSON & MANHATTAN RR CO,1024
XEROX CORP.,1024
BOSTON VETERANS HOSPITAL,1024
ARCHEOLOGICAL INSTITUTE OF AMERICA,1024
ZEREGA JUVENILE CENTER,1024
"HAVANA, UNIV OF",1024
MET OPERA,1024
MCDONNELL & CO.,1024
WESLEYAN UNIV,1024
NEW YORK CITY HEALTH & HOSPITALS CORP.,1024
DEM PARTY - SPECULATION AND MANEUVERING ON VICE PRES CANDIDATE,1024
Consumer Federation of America,1024
BALTIMORE & OHIO RR CO.,1024
"TEACHERS, AMERICAN FEDERATION OF",1024
"COMMUNITY RELATIONS ADVISORY COUNCIL, NATIONAL",1024
JONES & LAUGHLIN STEEL CORP.,1024
"MUDGE, STERN, BALDWIN & TODD",1024
YOUTH SERVICES AGENCY,1024
"DAUGHTERS OF THE AMERICAN REVOLUTION, NATIONAL SOCIETY OF THE",1024
Socialist International,1023
"DATA CENTER, NATIONAL",1023
"URBAN COALITION, NATIONAL",1023
"NEW YORK, NEW HAVEN AND HARTFORD RR CO.",1023
NEW YORK CITY COMMERCIAL DEVELOPMENT CORP.,1023
"CORRESPONDENTS ASSN, WHITE HOUSE",1023
APPELLATE DIVISION,1023
"CHURCHES OF THE CITY OF NY, COUNCIL OF",1023
TRUCKS AND TRUCKING INDUSTRY,1023
ROLLS-ROYCE LTD.,1023
"DEMOCRATIC CLUB, LEXINGTON",1023
ADVISORY COMMISSION ON INTERGOVERNMENTAL RELATIONS,1023
BEST & CO,1023
"CIVIL LIBERTIES UNION, AMERICAN",1023
"DELAWARE, UNIVERSITY OF",1023
Massachusetts Institute of Technology,1023
"ARAB REPUBLICS, FEDERATION OF",1023
TRANS CARIBBEAN AIRWAYS,1023
NEW YORK HILTON HOTEL,1023
HIGHER EDUC BD,1023
MUDGE ROSE GUTHRIE & ALEXANDER,1023
FAIRCHILD INDUSTRIES INC.,1023
HEWLETT-PACKARD CO.,1023
MILES COLLEGE,1023
Knights of Columbus,1023
"GOLD, H, AND ASSOCS",1022
GENERAL TELEPHONE & ELECTRONICS CORP.,1022
HOUSE INTERNAL SECURITY COMMITTEE,1022
NEW YORK NEW HAVEN & HARTFORD RR CO.,1022
"TRADES UNION CONGRESS, BRITISH",1022
ASTOR HOTEL,1022
"WELFARE CONFERENCE, NATIONAL CATHOLIC",1022
WISCONSIN MOTOR CORP,1022
NATIONAL LIBRARY,1022
OLIN MATHIESON CHEMICAL CORP.,1022
ATOMIC ENERGY COMMISION,1022
Correction Department,1022
EUROPEAN FREE TRADE ASSN.,1022
ADM AND BUDGETARY COM,1022
National Portrait Gallery,1022
"POWER AUTHORITY, NYS",1022
"CHILDREN'S FUND, UN",1022
"PEACE, HARRY S TRUMAN CENTER FOR THE ADVANCEMENT OF",1022
New York Yankees,1022
"ARMY, DEPARTMENT OF",1022
"BUSINESS AND LABOR, DEPARTMENT OF",1022
TAX COMMISSION,1022
ATLANTIC ACCEPTANCE CORP LTD.,1022
"APPEALS, COURT OF",1022
JUSTICE DEPT,1022
"COMMUTER TRANSPORTATION AUTHORITY, METROPOLITAN",1022
MOBIL OIL CORP.,1022
"RAILWAY CONDUCTORS AND BRAKEMEN, ORDER OF",1022
DEM PARTY - CAMPAIGN WINDUP,1022
DREW UNIV,1022
"MARITIME UNION OF AMERICA, NATIONAL",1022
PORT AUTHORITY OF NY AND NJ,1022
"POLITICAL SCIENCE ASSN, AMERICAN",1022
Mount Holyoke College,1022
Brookings Institution,1021
Twentieth Century Fund,1021
"UNIVERSITY PROFESSORS, AMERICAN ASSN OF",1021
RELOCATION DEPT,1021
SYRACUSE UNIV.,1021
HOLLY BUSH,1021
TEXAS SOUTHERN UNIV,1021
PRESIDENT'S CLUB,1021
RC,1021
BEEKMAN-DOWNTOWN HOSPITAL,1021
"STOCK EXCHANGE, LONDON",1021
"POLICE, INTERNATIONAL ASSN OF CHIEFS OF",1021
PARAMOUNT THEATER,1021
Oxford University,1021
Plaza Hotel,1021
"LABOR-MANAGEMENT POLICY, PRESIDENT'S ADVISORY COMMITTEE ON",1021
INVESTIGATION DEPARTMENT,1021
"MICHIGAN, UNIV OF",1021
CIVIL RIGHTS MOVEMENT - CIVIL RIGHTS ACT OF '64 - REPT ON FED LEGIS TO PROTECT RIGHTS WORKERS SUBMITTED TO PRES,1021
IBRD,1021
INTERNATIONAL COURT OF JUSTICE,1021
PHILADELPHIA ORCH,1021
SAIGON UNIV,1021
Los Angeles Chamber of Commerce,1021
WAYNE STATE UNIV.,1021
ROOSEVELT HOTEL,1021
LABOR DEPT,1020
"SCHOOL ADMINISTRATORS, AMERICAN ASSN OF",1020
ECONOMIC COMMISSION FOR AFRICA,1020
"ELECTRICAL, RADIO AND MACHINE WORKS, INTERNATIONAL UNION OF",1020
REPUB PARTY - NH PRIMARY CAMPAIGN - OTHER PRIMARY CONTESTS,1020
"HEART DISEASE, CANCER AND STROKE, PRESIDENT'S COMMISSION ON",1020
RAND CORP.,1020
AMERICAN BROADCASTING COS INC.,1020
ARMY DEPT,1020
HOUSING POLICY BD,1020
SWITCHMEN'S UNION OF NORTH AMERICA,1020
"MENTAL HEALTH, NYS ASSN FOR",1020
MAGAZINE PUBLISHERS ASSN.,1020
CD OFFICE,1020
TRUMAN ADMINISTRATION,1020
"CARTOONISTS, ASSN OF AMERICAN EDITORIAL",1020
ELECTIONS BD,1020
"ROOSEVELT, F D, ADMINISTRATION",1019
"NY,NH&H",1019
"DEMOCRATIC COALITION, NEW",1019
Fellowship of Reconciliation,1019
TUFTS UNIV.,1019
LEHMAN BROTHERS INC.,1019
MONSANTO CO.,1019
"DUBOIS, W E B, CLUBS OF AMERICA",1019
CONSUMERS ADVISORY COUNCIL,1019
COMMONWEALTH CLUB,1019
TWO-PARTY SYSTEM,1019
ORGANIZATION,1019
Waldorf-Astoria Hotel,1019
PENNSYLVANIA NY CENTRAL TRANSPORTATION CO.,1019
WARNER-LAMBERT PHARMACEUTICAL CO.,1019
SURFSIDE HOTEL,1019
POLICE DIVISION,1019
ACTORS STUDIO,1019
"PRESS ASSN, ANGLO-AMERICAN",1019
"MALAYA, FEDERATION OF",1018
VANDERBILT UNIV.,1018
"HEALTH MANPOWER, NATIONAL ADVISORY COMMITTEE ON",1018
BRISTOL-MYERS CO.,1018
General,1018
"POSTAL SERVICE, US",1018
"RETAIL MERCHANTS ASSN, NATIONAL",1018
AEC,1018
CIVIL RIGHTS LEGIS - CIVIL RIGHTS AS POL ISSUE,1018
"SOC, HUMANITARIAN AND CULTURAL COM",1018
"EQUAL OPPORTUNITY, PRESIDENT'S COUNCIL ON",1018
CIVIL RIGHTS MOVEMENT - CIVIL RIGHTS ACT OF '64 - DRIVE FOR FED LEGIS TO PROTECT RIGHTS WORKERS,1017
"FARMERS UNION, NATIONAL",1017
EUROPEAN FREE TRADE ASSN,1017
NEW YORK COALITION,1017
AMERICAN FEDERATION OF LABOR‐CONGRESS OF INDUSTRIAL ORGANIZATIONS,1017
"ECONOMIC ADVISERS, PRESIDENT'S COUNCIL OF",1017
"PENAL LAW AND CRIMINAL PROCEDURE CODE, COMM TO REVISE",1017
ALLEY THEATRE,1017
"MISSION SOCIETY, NYC",1017
Off-Track Betting Corp,1017
WAC,1016
MINUTEMEN,1016
"BRUCE, E L, CO INC.",1016
AMERICAN NAZI PARTY,1016
TRANSPORTATION ADM,1016
International Joint Commission,1016
"REPUB PARTY - SEN THURMOND, DEM, JOINS PARTY",1016
HEW DEPT,1016
UNITED STATES SENATORS,1016
Stanford University,1015
"AVIATION ADMINISTRATION, FEDERAL",1015
"OCEANIC AND ATMOSPHERIC ADMINISTRATION, NATIONAL",1015
AMBASSADOR HOTEL,1015
"DRUG ABUSE PREVENTION, SPECIAL ACTION OFFICE FOR",1015
"IRON AND STEEL INSTITUTE, AMERICAN",1014
CENTO,1014
CLAIMS COURT,1014
"FAMILY OF MAN, SOCIETY FOR THE",1013
Human Resources Administration,1013
"AMERICANS FOR FREEDOM, YOUNG",1013
AUDIT AND CONTROL DEPARTMENT,1013
STATE SENATE,1013
HOLY NAME SOC,1012
FEDERAL DEPOSIT INSURANCE CORPORATION,1012
Ford Motor Co,1012
"SIDAMON-ERISTOFF, CONSTANTINE",1012
"OBSCENITY AND PORNOGRAPHY, PRESIDENTIAL COMMISSION ON",1012
RULES COM,1010
PENN CENTRAL,1010
"PARK SERVICE, NATIONAL",1009
"MANUFACTURERS, NATIONAL ASSN OF",1007
WATERFRONT COMMISSION OF NY HARBOR,1007
"THRUWAY AUTHORITY, NYS",1004
"EMERGENCY PREPAREDNESS, OFFICE OF",1003
FAMILY CT,1002
COUNTY COURT,996
CITY CENTER OF MUSIC AND DRAMA,995
ALASKA RAILROAD,981
NORTHWEST ORIENT AIRLINES,513
"NIXON, RICHARD MILHOUS, FOUNDATION",513
COWLES COMMUNICATIONS INC.,513
GOODBODY & CO.,513
SETON HALL UNIV.,513
EAGLE AIRWAYS,513
PUBLIC SERVICE COORDINATED TRANSPORT CO.,513
ENGLANDER CO,513
PEOPLES NATIONAL BANK,513
IOS LTD.,513
SALANTER-AKIBO-RIVERDALE ACADEMY,513
BURLINGTON NORTHERN INC.,513
MEDICAL INTERNATIONAL COOPERATION,513
FRANKLIN SIMON & CO.,513
"Graham, Martha, Dance Co",513
BACHELORS III,513
"BAR ASSN, GEORGIA",513
NORTHERN ILLINOIS GAS CO.,513
GEIGER NURSING HOME,513
MARBORO BOOK SHOPS,513
ALLIED CHEMICAL CORP.,513
International Chamber of Commerce,513
HILTON HOTELS CORP.,513
PRINTING AND ALLIED TRADES,513
JEWISH REPERTORY THEATER OF NY,513
OKLAHOMA CITY UNIV.,513
HELENA RUBINSTEIN INC.,513
BUILDING SERVICE EMPLOYES,513
DINERS CLUB INC.,513
"LONGSHOREMEN'S AND WAREHOUSEMEN'S UNION, INTERNATIONAL",513
"SECRETARIES OF STATE, NATIONAL ASSN OF",513
"VETERANS, DISABLED AMERICAN",513
CATHOLIC UNIVERSITY,513
TYRONE GUTHRIE THEATER,513
MANHATTAN CASUALTY CO,513
MURRAY PACKING CO.,513
AMER CONSERVATORY THEATER,513
PPG INDUSTRIES INC.,513
UNITED STATES NAVAL HOSPITAL,513
BANK OF THE COMMONWEALTH,513
Georgia Institute of Technology,513
"REPUBLICANS OF CALIFORNIA, YOUNG",513
KKK,513
TEXAS GULF SULPHUR CO.,513
DONALDSON LUFKIN & JENRETTE INC.,513
AGRICULTURAL AND TECHNICAL COLLEGE OF NORTH CAROLINA,513
MOUNT SINAI HOSPITAL,513
"MUSICIANS, AMERICAN FEDERATION OF",513
"STERN, GUSTAV, FOUNDATION",513
"BIOLOGICAL SCIENCES, AMERICAN INSTITUTE OF",513
"DRAMATIC ARTS, AMERICAN ACADEMY OF",513
St Regis Hotel,513
PAKISTAN INTERNATL AIRLINES,513
LAMBS,513
"INTERNATIONAL LAW, AMERICAN SOCIETY OF",513
COLONY RESTAURANT,513
"Johnson, Robert Wood, Foundation",513
CLEVELAND TRUST CO,513
AIR WEST INC.,513
GRINNELL CORP.,513
HARLEM HOSPITAL,513
"THEATER AND ACADEMY, AMERICAN NATIONAL",513
"DU PONT DE NEMOURS, E I, & CO INC.",513
MCCRORY CORP.,513
LAN,513
RICHFIELD OIL CORP.,513
"POLITICAL SCIENCE ATTN, AMERICAN",513
"HOSPITAL FUND OF NY, UNITED",513
"COMMUNITY DISPUTES, BOARD OF MEDIATION FOR",513
La Mama,513
Catholic University of America,513
ADELA,513
LEARY'S BOOK STORE,513
Lincoln University,513
AVIATION-SPACE WRITERS ASSN,513
MCDONNELL AIRCRAFT CORP.,513
ALLEGHANY CORP.,513
"FROST, FREDERICK JR,& ASSOCS.",513
WESTERN UNION TELEGRAPH CO,513
WASHINGTON HEIGHTS FEDERAL SAVINGS & LOAN ASSN,513
PLOUGH INC.,513
"MEDICAL CENTER, YESHIVA UNIV-BRONX MUNICIPAL HOSPITAL CANTER",513
"Wright, Frank Lloyd, Foundation",513
PAN AMERICAN WORLD AIRWAYS SYSTEM,513
Young Men's Christian Assn,513
"DREW, JOHN, SUMMER THEATER",513
PIG'N WHISTLE CORP,513
"CANCER SOCIETY, AMERICAN",513
MPO VIDEOTRONICS INC.,513
EMPIRE STATE CHAMBER OF COMMERCE,513
Hebrew University,513
"AIR LINE PILOTS ASSNS, INTERNATIONAL FEDERATION OF",513
Stevens Institute of Technology,513
FOREST HILLS INN AND APARTMENTS,513
ART DEALERS ASSN OF AMERICA,513
LEASE PLAN INTERNATIONAL CORP.,513
SCHINE ENTERPRISES INC.,513
"SCIENCE CENTER, NYC",513
ALLEGHENY,513
WOLVERINE ALUMINUM CORP,513
AEROSPACE CORP.,513
SINCLAIR OIL CORP AND AFFILIATES,513
Empire State College,513
"FLANAGAN, WILLIAM, CENTER FOR CREATIVE PERSONS",513
"PSYCHOANALYTIC ASSN, INTERNATIONAL",513
CARNEGIE-MELLON UNIVERSITY,513
"ROCKET CLUB, NATIONAL",513
PREMIER CORP OF AMERICA,513
PILGRIMS OF THE US,513
CAPE COLONY INN,513
MORRISANIA COMMUNITY CORP.,513
RCA CORP.,513
"REPRODUCTION, INTERNATIONAL INSTITUTE FOR THE STUDY OF HUMAN",513
PRIME NETWORK INC,513
"RETARDED CHILDREN, STATE ASSN FOR",513
ROSE MARIE REID INC.,513
LEWIS'S INVESTMENT TRUST LTD,513
AMER,513
WESTINGHOUSE ELECTRIC CORP.,513
"INTERCULTURAL DOCUMENTATION, CENTER FOR",513
Radio Corp of America,513
PEACE MISSION MOVEMENT,513
United Service Organizations,513
ECUADORIAN,513
LIN BROADCASTING CORP,513
"MEDICAL CENTER, STATE UNIV",513
TWA,513
INVESTMENT BANKERS ASSN OF AMERICA,513
UNITED NATIONS TRAINING AND RESEARCH INSTITUTE,513
GEORGETOWN UNIV.,513
"TEACHERS OF MATHEMATICS, NATIONAL COUNCIL OF",513
ITALIAN-AMERICAN PROFESSIONAL AND BUSINESS MEN'S ASSN,513
GRINNELL CORP,513
"COMMUNITY FUNDS AND COUNCILS OF AMERICA, UNITED",513
WESTERN UNION TELEGRAPH CO.,513
"RADIO AND TELEVISION SOCIETY, INTERNATIONAL",513
"PATHOLOGISTS, AMERICAN SOCIETY OF CLINICAL",513
NEW YORK MEDICAL COLLEGE-FLOWER AND FIFTH AVENUE HOSPITALS,513
NY PHILHARMONIC,513
DREYFUS & CO,513
HARMER HOUSE NURSING HOME,513
Opus Dei,513
UNION TRANSPORTS AFRICAINS,513
"AIR TRANSPORT ASSN, INTERNATIONAL",513
"MEDICAL CENTER, NEW YORK HOSPITAL‐CORNELL UNIV",513
"MEDICAL CENTER, STATE UNIVERSITY",513
WESTGATE-CALIFORNIA CORP,513
DEFENSE ORIENTATION CONFERENCE ASSN,513
"TEACHING PROFESSION, WORLD CONFEDERATION OF ORGANIZATIONS OF THE",513
"REPUBLICAN CLUBS, NYS FEDERATION OF WOMEN'S",513
FRANKLIN NATIONAL BANK OF LI,513
"SOCIALIST PARTY, USA",513
Middlebury College,513
"ATHLETIC ASSN, NATIONAL COLLEGIATE",513
CORNELL AERONAUTICAL LABORATORY,513
"SILVERMAN, JERRY, INC",513
MUNICIPAL REFERENCE LIBRARY,513
MUTUAL SAVINGS LIFE INSURANCE CO,513
GENERAL FOODS CORP.,513
"MOOSE, LOYAL ORDER OF",513
ERIE-LACKAWANNA RR CO.,513
OXFORD UNIV,513
HALF HOLLOW HILLS COMMUNITY LIBRARY,513
AMERICAN STEEL & PUMP CORP,513
UNITED FUND OF GREATER NY INC,513
HUNDRED NEEDIEST CASES,513
"MERCANTILE EXCHANGE, CHICAGO",513
"MEDICAL CENTER, JERSEY CITY-HUDSON COUNTY",513
VALCHEM DIVISION OF UNITED MERCHANTS & MFRS INC,513
FULBRIGHT,513
ST REGIS PAPER CO.,513
WASHINGTON POST CO.,513
"DUPONT, F I, GLORE FORGAN & CO.",513
HANDLEY MILLS CO.,513
SHERATON MOTOR INN,513
NATIONAL REINSURANCE CORP.,513
"GENETICS, INTERNATIONAL CONGRESS OF",513
SAVINGS BANK LIFE INSURANCE CO.,513
AETNA BEARING CO,513
"MERRIAM, G & C, CO",513
ATLANTIC TREATY ASSN.,513
"WILDLIFE FUND, WORLD",513
"WORLD AFFAIRS, NEW HAMPSHIRE COUNCIL ON",513
VAICAR CORP,513
"KENNEDY, ROBERT F, MEMORIAL FOUNDATION",513
NETWORKS ELECTRONIC CO,513
WALL DRUG STORE,513
Ringling Bros and Barnum & Bailey Circus,513
PROCTER & GAMBLE CO.,513
"SINCLAIR, JAMES",513
CMX INC.,513
BROADWAY-HALE STORES INC.,513
MASSACHUSETTS FINANCIAL SERVICES INC.,513
MARTLAND HOSPITAL,513
"GRANT, W T, CO.",513
TRANSPORT WORKERS UNION OF AMERICA,513
RONEY PLAZA HOTEL,513
LINCOLN CENTER,513
"PSYCHOLOGY AND PSYCHIATRY, AMERICAN ASSN OF EXISTENTIAL",513
ALL-NIPPON AIRWAY,513
ENGLEWOOD SCHOOL FOR BOYS,513
OXFORD UNIV.,513
GENERAL TIME CORP.,513
LORILLARD CORP.,513
"BROADCASTERS, NATIONAL ASSN. OF",513
GENESCO INC.,513
BROWN BROTHERS HARRIMAN & CO.,513
AMERICAN PARTY OF TEXAS,513
CIT FINANCIAL CORP.,513
DAVENPORT HOUSE,513
CROYDON HOTEL,513
"Sloan, Alfred P, Foundation",513
Maryland Institute College of Art,513
THERMO KING CO.,513
MARYLAND CASUALTY CO,513
"ROCHESTER, UNIVERSITY OF",513
NATIONAL STUDENT MARKETING CORP,513
BALLET OF THE TWENTIETH CENTURY,513
"MAINE, UNIV OF",513
VETERANS DAY,513
WASHINGTON TECHNICAL INSTITUTE,513
IBM WORLD TRADE CORP.,513
"PRESS CLUB, ST LOUIS",513
"TOURIST ASSN, CANADIAN",513
Desert Inn,513
WEIS SECURITIES INC,513
WEYERHAEUSER CO.,513
Carleton College,513
LEXINGTON SCHOOL FOR THE DEAF,513
"PHOTOGRAPHERS ASSN, WHITE HOUSE NEWS",513
"SPACE RESEARCH, COMMITTEE ON",513
"AUTOMOBILE, AIRCRAFT AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, UNITED",513
"CLINICAL INVESTIGATION, AMERICAN SOCIETY FOR",513
AMER FLYERS AIRLINES,513
NEW JERSEY-NEW YORK INTERSTATE SYSTEM,513
"HOUSING CONFERENCE, NATIONAL",513
"MASONS, FREE AND ACCEPTED ORDER OF",513
"FERTILITY SOCIETY, AMERICAN",513
"COTTON MFRS INSTITUTE, AMERICAN",513
ROYAL CHECK CASHING SERVICE,513
Franklin Mint,513
REYNOLDS METALS CO.,513
CITIZENS CASUALTY CO,513
Urban Institute,513
"BRUSSELS, FREE UNIVERSITY OF",513
GEORGIA-PACIFIC CORP.,513
"OLYMPIC COMMITTEE, US",513
El Al Israel Airlines,513
Eton College,513
"FARM BROADCASTERS, NATIONAL ASSN OF",513
"HAUPT, IRA, & CO",513
"PEACE COUNCIL, WORLD",513
Spofford Juvenile Center,513
NAGLER WEISSMAN & CO INC,513
"STEINTHAL, M, & CO INC",513
Marshall University,513
ROYAL OPERA OF SWEDEN,513
PIONEER INTERNATIONAL HOTEL,513
UNITED AIRCRAFT CORP.,513
Phillips Exeter Academy,513
"SECURITY ANALYSTS, NY SOCIETY OF",513
AMERICAN-ISRAEL REAL ESTATE CORP.,513
"MINING, METALLURGICAL AND PETROLEUM ENGINEERS, AMERICAN INSTITUTE OF",513
Bankers Trust Co,513
MUSKINGUM COLLEGE,513
WESTGATE-CALIFORNIA CORP.,513
"VETERANS OF WORLD WAR II, KOREA AND VIETNAM, AMERICAN",513
ACOUSTICAL SOCIETY OF AMERICA,513
Beth Israel Hospital,513
OLYMPIC PORTLAND CEMENT,513
WELCH SCIENTIFIC CO,513
"RUPPERT, JACOB, BREWERY",513
COMMONWEALTH UNITED CORP,513
"AILEY, ALVIN, CITY CENTER DANCE THEATER",513
SEARS ROEBUCK & CO.,513
OHRBACH'S INC.,513
ALUMINUM CO OF AMERICA,513
SQUIBB BEECH-NUT INC.,513
"THERAPEUTIC SOCIETY, AMERICAN",513
"TENNIS ASSN, US LAWN",513
OCCIDENTAL PETROLEUM CORP.,513
"THOMPSON, J WALTER, CO.",513
ALLIS-CHALMERS MFG CO.,513
"ASTRONOMICAL UNION, INTERNATIONAL",513
"VILLAGER, THE, INC.",513
SIMONS ROCK COLLEGE,513
"WOOLWORTH, F W, CO.",513
CUNARD SS CO LTD.,513
PONTIFICAL GREGORIAN UNIV,513
TRINITY CHRISTIAN COLLEGE,513
MOTOR CLUB OF AMERICA,513
"CIVIL LIBERTIES COMMITTEE, EMERGENCY",513
"MEDICAL CENTER, HADASSAH-HEBREW UNIV",513
"TANNY, VIC, INC.",513
Prudential Insurance Co of America,513
New York City Ballet,513
ST LOUIS JUNIOR COMMUNITY COLLEGE,513
SIMON & SCHUSTER INC.,513
SEAGER EVANS & CO LTD.,513
Rockefeller University,513
GREYHOUND CORP.,513
SOUTHERN RY CO.,513
GULF OIL CORP.,513
"NOBEL MEMORIAL FOUNDATION, AMERICAN",513
PARADISE AIRLINES,513
AMERICAN PHOTOCOPY EQUIPMENT CO.,513
"TENNIS ASSN, EASTERN LAWN",513
SUGAR CLUB,513
"TRANSIT UNION, AMALGAMATED",513
FREEDOM FROM HUNGER FOUNDATION,513
FOUR SEASONS NURSING CENTERS OF AMERICA INC,513
Cambridge University,513
"DU PONT DE NEMOURS, E I, & CO.",513
YOO-HOO BEVERAGE CO.,513
"SEARS, ROEBUCK & CO INC.",513
EL AL,513
"PAPER BOX ASSN OF AMERICA, FOLDING",513
EDUCATIONAL BROADCASTING CORP.,513
"GRACE, W R, & CO.",513
WYOMING NATIONAL BANK,513
NORTHWESTERN STEEL & WIRE CO.,513
FOREMOST DAIRIES INC.,513
"HANNA, M A, CO",513
STATEN ISLAND COMMUNITY COLLEGE,513
KRUPP WORKS AG,513
TRINITY UNIV,513
CATHOLIC UNIV OF AMERICA,513
"SCIENCES, NY ACADEMY OF",513
PHILCO CORP.,513
NEW YORK CONTROL RR CO.,513
MINNESOTA MINING & MFG CO.,513
ZECKENDORF PROPERTY CORP,513
HERTZ CORP.,513
Mayflower Hotel,513
ORGANIZED RESERVE,513
HORN & HARDART CO.,513
"AERONAUTICS AND ASTRONAUTICS, AMERICAN INSTITUTE OF",513
STAINLESS AND STEEL PRODUCTS CO,513
EQUITABLE SECURITIES CORP.,513
SOUTHERN METHODIST UNIV,513
CHULALONGKORN UNIV.,513
"UNITED BRETHREN CHURCH, EVANGELICAL",513
AMERICAN TELEPHONE & TELEGRAPH CO.,513
NEW YORK BUSINESS DEVELOPMENT CORP.,513
PACIFIC AIRLINES,513
BELGIAN-AMERICAN ASSNS.,513
Hartford Hospital,513
"BROADCAST LABORATORY, PUBLIC",513
FOREST HILLS INN,513
"DUBLIN, UNIV OF",513
"DISNEY, WALT, PRODUCTIONS",513
MCDONNELL CO.,513
GENERAL DYNAMICS CORP.,513
HARPER & ROW INC.,513
HOFSTRA UNIV.,513
STANDISH ARMS HOTEL,513
Riverside Church,513
NORTH AMERICAN AVIATION INC.,513
CONTINENTAL VENDING MACHINE CORP,513
"PARENTHOOD OF NYC, PLANNED",513
"COLLEGES AND SECONDARY SCHOOLS, MIDDLE STATES ASSN OF",513
"KATANGA FREEDOM FIGHTERS, AMERICAN COMMITTEE FOR AID TO",513
"HOLT, RINEHART & WINSTON INC.",513
FLORIDA EAST COAST RY CO,513
ARGENTINE AIRLINES,513
"DEMOCRATIC VOTERS, NY COMMITTEE FOR",513
ARENA STAGE,513
EAST ORANGE GENERAL HOSPITAL,513
DALE'S PENTHOUSE RESTAURANT AND LOUNGE,513
"PRESS ASSN, FOREIGN",513
FREE PUBLIC LIBRARY OF WOODBRIDGE,513
HARLEM CASINO,513
MCCORMICK PLACE,513
Carnegie Foundation for the Advancement of Teaching,513
ST LOUIS UNIV.,513
ORANGETOWN PUBLIC LIBRARY,513
VACATIONS FOR THE AGING AND SENIOR CENTERS ASSN.,513
TEMPLE INDUSTRIES INC,513
PULLMAN INC.,513
Ethiopian Orthodox Church,513
Cleveland Institute of Music,513
"METEOROLOGICAL ORGANIZATION, WORLD",513
DENTAL INSURANCE PLAN INC,513
"AFRO-AMERICAN UNITY, ORGANIZATION FOR",513
FIRST BOSTON CORP.,513
Good Samaritan Hospital,513
"INDUSTRIAL PROPERTY, INTERNATIONAL UNION FOR THE PROTECTION OF",513
Jehovah's Witnesses,513
"HEADACHES, AMERICAN ASSN FOR THE STUDY OF",513
IOS LTD,513
New York Rangers,513
"MARIS, PAUL, CO",513
INTERNATIONAL SPACE COOPERATION AND VENTURES,513
WORLD TRADE CENTER,513
TEXASGULF INC.,512
LIONEL HAMPTON HOUSES,512
Racing and Wagering Board,512
"ATTORNEYS GENERAL, NATIONAL ASSN OF",512
WATERGATE COMPLEX,512
DE BEERS CONSOLIDATED MINES LTD.,512
Northeastern University,512
JOHNSON C SMITH UNIVERSITY,512
Phi Beta Kappa,512
Negro Ensemble Co,512
Hunter College High School,512
OHIO UNIV.,512
HOLY CROSS COLLEGE,512
Communications Workers of America,512
HARLEM YOUTH OPPORTUNITIES UNLIMITED INC.,512
"INTERNATIONAL DEVELOPMENT, NATIONAL COMMITTEE FOR",512
CHICAGO ROCK ISLAND & PACIFIC RR CO.,512
EDGE MOTEL,512
PRATT & WHITNEY DIVISION OF UNITED AIRCRAFT CORP.,512
"SECURITIES DEALERS, NATIONAL ASSN OF",512
Chicago Board of Trade,512
"CORRESPONDENTS ASSN, UN",512
NATO,512
CHURCH OF OUR LORD,512
"HOSPITAL ASSN, GREATER NY",512
AMERICAN EXPRESS CO.,512
"LIBRARIES ASSN, SPECIAL",512
SUTTON EAST,512
PARAMOUNT PICTURES CORP.,512
Workmen's Circle,512
"ALIEN PROPERTY, OFFICE OF",512
Social Security Administration,512
VACATIONS FOR THE AGING,512
HERBERT H LEHMAN COLLEGE,512
"MERRILL LYNCH, PIERCE, FENNER & SMITH INC.",512
"REPUB PARTY - TEX, IND, NEB, W VA PRIMARIES - LODGE POPULAR SUPPORT GROWS - GOLDWATER GAINS DELEGATE STRENGTH - ORE, CALIF CAMPAIGNS AND STOP-GOLDWATER DRIVE - ISSUE OF LIBERAL REPUBS SUPPORT FOR GOLDWATER",512
CONSOLIDATION COAL CO.,512
"PLANNING OFFICIALS, AMERICAN SOCIETY OF",512
"NORTH CAROLINA, UNIV OF",512
TIDEWATER OIL CO.,512
CHICAGO ROCK ISLAND & PACIFIC RR CO,512
EATONTOWN NATIONAL BANK,512
NORTHWESTERN LIFE INSURANCE CO.,512
FISK UNIV.,512
Jewish Guild for the Blind,512
"BATTEN, BARTON, DURSTINE & OSBORN INC.",512
CHILD GUIDANCE TOYS INC.,512
UNITED AIR LINES,512
"TULSA, UNIV OF",512
"TEACHERS INSTITUTE, CATHOLIC",512
CALIFORNIA STATE COLLEGES,512
ANTI-DEFAMATION LEAGUE OF B'NAI B'RITH,512
"ETHICAL CULTURE IN THE CITY OF NY, SOCIETY FOR",512
"KRESGE, S S, CO.",512
COUNTY OFFICERS ASSN,512
